WL(nm)	WV2 Coastal Blue	WV2 Blue	WV2 Green	WV2 Yellow	WV2 Red	WV2 RedEdge	WV2 NIR1	WV2 NIR2
350	0.0000019	0.0000008	0.0000004	0.0000003	0.0000003	0.0000001	0.0000003	0.0000003
352.5	0.0000033	0.0000004	0.0000003	0.0000001	0.0000001	0.0000002	0.0000000	0.0000070
355	0.0000033	0.0000003	0.0000001	0.0000001	0.0000001	0.0000003	0.0000000	0.0000199
357.5	0.0000028	0.0000002	0.0000002	0.0000001	0.0000000	0.0000002	0.0000001	0.0000874
360	0.0000017	0.0000003	0.0000002	0.0000000	0.0000001	0.0000002	0.0000001	0.0000748
362.5	0.0000033	0.0000001	0.0000001	0.0000000	0.0000000	0.0000001	0.0000000	0.0000052
365	0.0000036	0.0000002	0.0000002	0.0000001	0.0000001	0.0000001	0.0000000	0.0000005
367.5	0.0000044	0.0000003	0.0000002	0.0000001	0.0000001	0.0000002	0.0000001	0.0000006
370	0.0000029	0.0000004	0.0000003	0.0000001	0.0000002	0.0000002	0.0000001	0.0000003
372.5	0.0000062	0.0000005	0.0000003	0.0000001	0.0000001	0.0000002	0.0000000	0.0000001
375	0.0000054	0.0000004	0.0000002	0.0000001	0.0000001	0.0000002	0.0000000	0.0000002
377.5	0.0000050	0.0000005	0.0000003	0.0000001	0.0000002	0.0000002	0.0000000	0.0000003
380	0.0000074	0.0000004	0.0000004	0.0000001	0.0000002	0.0000003	0.0000000	0.0000001
382.5	0.0000135	0.0000003	0.0000002	0.0000001	0.0000001	0.0000003	0.0000000	0.0000002
385	0.0000454	0.0000005	0.0000004	0.0000001	0.0000002	0.0000003	0.0000000	0.0000002
387.5	0.0001731	0.0000006	0.0000005	0.0000003	0.0000003	0.0000004	0.0000000	0.0000002
390	0.0006347	0.0000007	0.0000004	0.0000006	0.0000004	0.0000008	0.0000001	0.0000002
392.5	0.0034150	0.0000005	0.0000004	0.0000211	0.0000002	0.0000023	0.0000000	0.0000002
395	0.0274284	0.0000006	0.0000004	0.0000273	0.0000003	0.0000013	0.0000000	0.0000002
397.5	0.1329030	0.0000007	0.0000005	0.0000005	0.0000004	0.0000013	0.0000001	0.0000002
400	0.3559880	0.0000028	0.0000004	0.0000000	0.0000003	0.0000020	0.0000002	0.0000002
402.5	0.5925800	0.0000024	0.0000005	0.0000001	0.0000003	0.0000011	0.0000000	0.0000001
405	0.7007190	0.0000017	0.0000005	0.0000000	0.0000003	0.0000016	0.0000001	0.0000002
407.5	0.7396250	0.0000010	0.0000005	0.0000001	0.0000004	0.0000010	0.0000001	0.0000002
410	0.7653070	0.0000026	0.0000005	0.0000002	0.0000004	0.0000010	0.0000001	0.0000004
412.5	0.7878420	0.0000062	0.0000004	0.0000002	0.0000004	0.0000011	0.0000002	0.0000002
415	0.8170880	0.0000135	0.0000004	0.0000001	0.0000006	0.0000009	0.0000001	0.0000002
417.5	0.8386870	0.0000275	0.0000005	0.0000002	0.0000006	0.0000020	0.0000001	0.0000002
420	0.8617800	0.0000412	0.0000003	0.0000002	0.0000003	0.0000011	0.0000001	0.0000001
422.5	0.8835130	0.0000515	0.0000005	0.0000003	0.0000003	0.0000009	0.0000001	0.0000002
425	0.9050550	0.0000701	0.0000004	0.0000003	0.0000003	0.0000007	0.0000001	0.0000002
427.5	0.9170720	0.0001333	0.0000004	0.0000002	0.0000003	0.0000010	0.0000001	0.0000002
430	0.9272080	0.0003374	0.0000003	0.0000003	0.0000003	0.0000097	0.0000001	0.0000001
432.5	0.9476580	0.0009579	0.0000004	0.0000004	0.0000003	0.0000509	0.0000002	0.0000002
435	0.9650880	0.0022771	0.0000005	0.0000004	0.0000002	0.0000025	0.0000001	0.0000001
437.5	0.9793040	0.0054329	0.0000003	0.0000004	0.0000002	0.0000003	0.0000001	0.0000008
440	0.9859210	0.0197821	0.0000002	0.0000010	0.0000003	0.0000008	0.0000016	0.0000012
442.5	0.9890940	0.0818229	0.0000003	0.0000050	0.0000002	0.0000239	0.0000061	0.0000001
445	0.9972360	0.2452000	0.0000005	0.0000032	0.0000004	0.0000026	0.0000004	0.0000002
447.5	0.9746130	0.5033090	0.0000004	0.0000012	0.0000002	0.0000002	0.0000001	0.0000019
450	0.8539400	0.7009700	0.0000006	0.0000005	0.0000003	0.0000002	0.0000004	0.0000012
452.5	0.5880320	0.7576050	0.0000006	0.0000003	0.0000003	0.0000003	0.0000003	0.0000008
455	0.2815770	0.7782550	0.0000005	0.0000004	0.0000003	0.0000001	0.0000003	0.0000006
457.5	0.0805215	0.7886260	0.0000005	0.0000003	0.0000002	0.0000002	0.0000003	0.0000002
460	0.0089461	0.8000000	0.0000023	0.0000007	0.0000019	0.0000002	0.0000003	0.0000000
462.5	0.0013331	0.8017370	0.0000044	0.0000006	0.0000034	0.0000002	0.0000004	0.0000001
465	0.0003609	0.8098590	0.0000085	0.0000005	0.0000008	0.0000002	0.0000005	0.0000004
467.5	0.0001454	0.8210700	0.0000128	0.0000005	0.0000006	0.0000001	0.0000006	0.0000002
470	0.0000712	0.8260450	0.0000141	0.0000004	0.0000012	0.0000001	0.0000004	0.0000000
472.5	0.0000380	0.8309250	0.0000159	0.0000007	0.0000024	0.0000005	0.0000004	0.0000009
475	0.0000115	0.8422620	0.0000198	0.0000007	0.0000010	0.0000008	0.0000007	0.0000037
477.5	0.0000096	0.8627060	0.0000212	0.0000007	0.0000009	0.0000017	0.0000014	0.0000012
480	0.0000051	0.8784820	0.0000226	0.0000007	0.0000006	0.0000009	0.0000006	0.0000002
482.5	0.0000112	0.8769430	0.0000266	0.0000007	0.0000013	0.0000058	0.0000009	0.0000001
485	0.0000110	0.8782670	0.0000356	0.0000007	0.0000013	0.0000138	0.0000016	0.0000007
487.5	0.0000108	0.8876130	0.0000435	0.0000006	0.0000014	0.0000079	0.0000006	0.0000009
490	0.0000091	0.9075760	0.0000664	0.0000007	0.0000029	0.0000039	0.0000005	0.0000000
492.5	0.0000101	0.9305590	0.0001438	0.0000006	0.0000019	0.0000057	0.0000006	0.0000003
495	0.0000117	0.9501920	0.0003963	0.0000003	0.0000029	0.0000153	0.0000003	0.0000001
497.5	0.0000064	0.9768010	0.0011357	0.0000004	0.0000022	0.0000099	0.0000002	0.0000000
500	0.0000013	1.0000000	0.0030919	0.0000002	0.0000015	0.0000012	0.0000003	0.0000007
502.5	0.0000014	0.9789400	0.0111042	0.0000003	0.0000023	0.0000015	0.0000001	0.0000008
505	0.0000009	0.8557790	0.0405198	0.0000002	0.0000008	0.0000042	0.0000002	0.0000000
507.5	0.0000006	0.5938730	0.1337880	0.0000002	0.0000002	0.0000014	0.0000004	0.0000001
510	0.0000007	0.2976290	0.3515100	0.0000002	0.0000003	0.0000002	0.0000002	0.0000002
512.5	0.0000009	0.1256610	0.6060390	0.0000002	0.0000002	0.0000002	0.0000003	0.0000004
515	0.0000009	0.0503684	0.7230070	0.0000001	0.0000002	0.0000001	0.0000003	0.0000008
517.5	0.0000011	0.0181990	0.7600260	0.0000003	0.0000002	0.0000001	0.0000004	0.0000009
520	0.0000010	0.0057341	0.7793890	0.0000001	0.0000002	0.0000002	0.0000003	0.0000004
522.5	0.0000007	0.0029735	0.7888110	0.0000002	0.0000002	0.0000001	0.0000004	0.0000002
525	0.0000009	0.0016560	0.8068500	0.0000004	0.0000001	0.0000001	0.0000002	0.0000002
527.5	0.0000012	0.0009803	0.8280350	0.0000003	0.0000000	0.0000001	0.0000001	0.0000027
530	0.0000036	0.0006049	0.8407560	0.0000005	0.0000002	0.0000002	0.0000001	0.0000088
532.5	0.0000013	0.0003915	0.8420390	0.0000002	0.0000000	0.0000001	0.0000000	0.0000007
535	0.0000004	0.0002592	0.8443050	0.0000002	0.0000000	0.0000002	0.0000000	0.0000004
537.5	0.0000005	0.0001681	0.8468570	0.0000002	0.0000000	0.0000002	0.0000000	0.0000040
540	0.0000003	0.0001089	0.8503350	0.0000001	0.0000001	0.0000001	0.0000000	0.0000047
542.5	0.0000005	0.0000763	0.8597230	0.0000004	0.0000001	0.0000001	0.0000000	0.0000001
545	0.0000004	0.0000514	0.8635160	0.0000004	0.0000001	0.0000001	0.0000001	0.0000003
547.5	0.0000126	0.0000520	0.8691430	0.0000038	0.0000001	0.0000000	0.0000001	0.0000021
550	0.0001417	0.0000667	0.8825710	0.0000070	0.0000001	0.0000000	0.0000000	0.0000010
552.5	0.0000024	0.0000623	0.9007200	0.0000062	0.0000000	0.0000001	0.0000001	0.0000001
555	0.0000003	0.0000607	0.9244690	0.0000044	0.0000001	0.0000002	0.0000001	0.0000002
557.5	0.0000003	0.0000594	0.9421680	0.0000049	0.0000002	0.0000001	0.0000002	0.0000001
560	0.0000005	0.0000626	0.9622850	0.0000038	0.0000001	0.0000004	0.0000001	0.0000001
562.5	0.0000005	0.0000549	0.9766010	0.0000111	0.0000001	0.0000020	0.0000000	0.0000000
565	0.0000003	0.0000587	0.9857260	0.0000267	0.0000001	0.0000021	0.0000001	0.0000000
567.5	0.0000003	0.0000488	0.9947640	0.0000575	0.0000001	0.0000008	0.0000001	0.0000000
570	0.0000001	0.0000494	1.0000000	0.0001271	0.0000002	0.0000009	0.0000000	0.0000000
572.5	0.0000000	0.0000415	0.9930530	0.0003445	0.0000001	0.0000020	0.0000000	0.0000000
575	0.0000002	0.0000310	0.9791210	0.0008950	0.0000001	0.0000031	0.0000001	0.0000000
577.5	0.0000016	0.0000297	0.9077450	0.0022247	0.0000003	0.0000031	0.0000000	0.0000001
580	0.0000017	0.0000174	0.6640400	0.0058789	0.0000002	0.0000045	0.0000000	0.0000013
582.5	0.0000004	0.0000175	0.3014360	0.0265572	0.0000004	0.0000067	0.0000000	0.0000001
585	0.0000001	0.0000143	0.0929241	0.1346520	0.0000005	0.0000061	0.0000000	0.0000003
587.5	0.0000001	0.0000109	0.0252385	0.3892200	0.0000006	0.0000050	0.0000001	0.0000002
590	0.0000005	0.0000128	0.0055627	0.6635500	0.0000008	0.0000071	0.0000001	0.0000002
592.5	0.0000029	0.0000092	0.0024767	0.8481980	0.0000009	0.0000113	0.0000000	0.0000005
595	0.0000045	0.0000086	0.0011294	0.8998060	0.0000013	0.0000138	0.0000000	0.0000006
597.5	0.0000028	0.0000092	0.0005085	0.9200230	0.0000091	0.0000161	0.0000000	0.0000002
600	0.0000010	0.0000081	0.0002229	0.9326340	0.0000126	0.0000240	0.0000002	0.0000006
602.5	0.0000017	0.0000085	0.0001072	0.9401810	0.0000268	0.0000344	0.0000000	0.0000005
605	0.0000013	0.0000090	0.0000539	0.9470260	0.0000410	0.0000375	0.0000000	0.0000005
607.5	0.0000014	0.0000076	0.0000257	0.9524410	0.0000704	0.0000398	0.0000002	0.0000006
610	0.0000023	0.0000081	0.0000069	0.9664120	0.0001229	0.0000538	0.0000000	0.0000012
612.5	0.0000031	0.0000091	0.0000035	0.9814690	0.0002687	0.0000794	0.0000001	0.0000005
615	0.0000061	0.0000074	0.0000017	0.9897230	0.0006281	0.0000884	0.0000000	0.0000003
617.5	0.0000116	0.0000072	0.0000003	0.9927060	0.0016492	0.0000759	0.0000001	0.0000002
620	0.0000101	0.0000080	0.0000018	1.0000000	0.0048674	0.0000904	0.0000000	0.0000005
622.5	0.0000056	0.0000061	0.0000017	0.9693680	0.0227608	0.0001744	0.0000000	0.0000006
625	0.0000039	0.0000055	0.0000062	0.7594330	0.0955659	0.0001848	0.0000000	0.0000006
627.5	0.0000032	0.0000061	0.0000086	0.4366510	0.2943530	0.0000517	0.0000001	0.0000011
630	0.0000027	0.0000042	0.0000152	0.1343220	0.5960710	0.0000088	0.0000000	0.0000011
632.5	0.0000031	0.0000035	0.0000161	0.0308525	0.8222890	0.0000045	0.0000000	0.0000003
635	0.0000025	0.0000041	0.0000257	0.0073852	0.8727760	0.0000027	0.0000000	0.0000004
637.5	0.0000026	0.0000038	0.0000325	0.0022367	0.8853350	0.0000015	0.0000001	0.0000005
640	0.0000027	0.0000028	0.0000292	0.0006906	0.9279280	0.0000011	0.0000000	0.0000001
642.5	0.0000027	0.0000038	0.0000270	0.0002851	0.9556950	0.0000007	0.0000001	0.0000006
645	0.0000025	0.0000038	0.0000241	0.0001576	0.9650420	0.0000014	0.0000001	0.0000007
647.5	0.0000021	0.0000032	0.0000141	0.0000963	0.9670950	0.0000028	0.0000004	0.0000008
