Wavelength	09/27/123 at 12:25:57
350	 4.22374146887191E-02 
351	 4.23190627191697E-02 
352	 4.26812858763211E-02 
353	 4.28822914815247E-02 
354	 4.24537168012346E-02 
355	 4.25279244456808E-02 
356	 4.26063855388236E-02 
357	 0.042423263011988 
358	 4.25600403834728E-02 
359	 4.27729337921696E-02 
360	 4.28941370956758E-02 
361	 4.28444211438484E-02 
362	 4.31996713755678E-02 
363	 0.043493953085959 
364	 0.043417946428938 
365	 4.31498045205552E-02 
366	 0.042975836662796 
367	 4.29670078407481E-02 
368	 4.30893369051304E-02 
369	 4.35215176534971E-02 
370	 4.38005069389668E-02 
371	 4.37053090910306E-02 
372	 4.36799082027361E-02 
373	 4.36925971012072E-02 
374	 4.37749636206875E-02 
375	 4.39407301558546E-02 
376	 4.39337383760079E-02 
377	 0.043906186106243 
378	 4.39565125428666E-02 
379	 4.39027302875952E-02 
380	 4.40251772732331E-02 
381	 4.42523270638179E-02 
382	 4.43603752620762E-02 
383	 4.45334061679721E-02 
384	 4.46727535384772E-02 
385	 4.46947607617208E-02 
386	 4.46055879423949E-02 
387	 4.46467831395552E-02 
388	 4.47934126444818E-02 
389	 4.49121483519411E-02 
390	 4.51419414528178E-02 
391	 4.53463357015082E-02 
392	 4.54532561921113E-02 
393	 4.55535279436855E-02 
394	 4.56438045322721E-02 
395	 4.56813731568585E-02 
396	 4.56365719459359E-02 
397	 4.57241848632441E-02 
398	 0.04574801301769 
399	 4.56890790691946E-02 
400	 4.59140183810482E-02 
401	 4.59728621216482E-02 
402	 4.59395850882379E-02 
403	 4.60259350493595E-02 
404	 4.59414833336535E-02 
405	 0.045911935864453 
406	 4.60330502331721E-02 
407	 4.60985464931675E-02 
408	 4.60911318651134E-02 
409	 4.60718115666705E-02 
410	 4.61223537093054E-02 
411	 4.61628456840742E-02 
412	 4.62036963653328E-02 
413	 4.62584502172311E-02 
414	 4.63270318786577E-02 
415	 4.64752221840604E-02 
416	 4.65479313898993E-02 
417	 4.63775583888685E-02 
418	 4.63181356450159E-02 
419	 4.63537098015356E-02 
420	 4.64396761653018E-02 
421	 4.65550913594771E-02 
422	 4.66127367199729E-02 
423	 4.66091439818414E-02 
424	 4.65906105851607E-02 
425	 4.66813699556415E-02 
426	 4.67445998091483E-02 
427	 4.67445642267607E-02 
428	 4.68363002917773E-02 
429	 4.69111866726155E-02 
430	 4.69081133753476E-02 
431	 4.68311869414295E-02 
432	 4.69523912719451E-02 
433	 4.70563254897269E-02 
434	 4.70459032168253E-02 
435	 4.70166806565446E-02 
436	 4.70425044717565E-02 
437	 4.71108964770244E-02 
438	 4.71764899991732E-02 
439	 4.72068919664691E-02 
440	 4.72328271304057E-02 
441	 4.72469358296836E-02 
442	 4.71815875745278E-02 
443	 4.72089811990088E-02 
444	 4.72666963452194E-02 
445	 4.72673947147216E-02 
446	 4.73808805682589E-02 
447	 4.74884759839148E-02 
448	 4.75379152480675E-02 
449	 4.75792647650686E-02 
450	 4.75850698953387E-02 
451	 4.75798887366813E-02 
452	 4.76005346358159E-02 
453	 4.76786746303179E-02 
454	 4.77352948403402E-02 
455	 0.047742749441704 
456	 4.77399740287397E-02 
457	 4.77731848631985E-02 
458	 4.78563093338713E-02 
459	 0.047968988223578 
460	 0.048006658641768 
461	 0.047974850707212 
462	 4.79348195299269E-02 
463	 4.79951420599752E-02 
464	 4.80466800258167E-02 
465	 4.81042886811429E-02 
466	 4.81922906171081E-02 
467	 4.82608402739017E-02 
468	 4.82550608260804E-02 
469	 4.82248735649692E-02 
470	 0.048310772174688 
471	 4.83827932868405E-02 
472	 0.048403995139562 
473	 4.83846155012534E-02 
474	 4.84164221554679E-02 
475	 4.84800615144718E-02 
476	 4.85257897686929E-02 
477	 4.84891155421449E-02 
478	 4.85187404347324E-02 
479	 4.85860265549508E-02 
480	 4.86484996214565E-02 
481	 4.87386151715244E-02 
482	 4.87527554480108E-02 
483	 4.87269991758524E-02 
484	 4.87906329355537E-02 
485	 4.88432892925513E-02 
486	 4.89023335681303E-02 
487	 4.89765895785079E-02 
488	 4.90007309387833E-02 
489	 4.90446126153722E-02 
490	 4.91139119235144E-02 
491	 4.91772056171137E-02 
492	 4.91993095803373E-02 
493	 4.92327121942428E-02 
494	 4.92968729432432E-02 
495	 4.93022233345825E-02 
496	 4.93220736267721E-02 
