Wavelength	09/27/123 at 12:23:41
350	 2.42758520031948E-02 
351	 2.42703427873459E-02 
352	 2.43690692098601E-02 
353	 2.43799507902138E-02 
354	 2.41779017721834E-02 
355	 2.49067653510407E-02 
356	 2.53492520109917E-02 
357	 2.49746868016231E-02 
358	 2.50853265393909E-02 
359	 2.53141914298403E-02 
360	 2.55300919203289E-02 
361	 2.56814176032748E-02 
362	 2.57907454228537E-02 
363	 2.59107236139856E-02 
364	 2.60137273922041E-02 
365	 2.58604808178225E-02 
366	 2.59023914333384E-02 
367	 2.59921514625749E-02 
368	 2.57910651650408E-02 
369	 2.60941833637446E-02 
370	 2.64173889556262E-02 
371	 2.64298034881011E-02 
372	 2.64657418235272E-02 
373	 0.026499792087297 
374	 2.65698706846749E-02 
375	 0.026731192748134 
376	 2.69989350461594E-02 
377	 2.73627091805854E-02 
378	 0.027716719419395 
379	 2.77224481172879E-02 
380	 2.77318928997764E-02 
381	 2.78676864560804E-02 
382	 2.81308814754547E-02 
383	 2.84129439210192E-02 
384	 2.87674786134483E-02 
385	 2.91365493920134E-02 
386	 2.91555822717336E-02 
387	 2.92880682426742E-02 
388	 2.95836196833744E-02 
389	 2.98916351030201E-02 
390	 3.00651059471296E-02 
391	 0.030300723063741 
392	 3.06808936386979E-02 
393	 3.10405161678928E-02 
394	 3.12605255177316E-02 
395	 3.13771518533187E-02 
396	 0.031508471918627 
397	 3.17935289675441E-02 
398	 3.21655170926246E-02 
399	 3.25291323170839E-02 
400	 3.27783417330754E-02 
401	 3.29738486107013E-02 
402	 3.32082745774574E-02 
403	 3.35506686955442E-02 
404	 3.37515696724263E-02 
405	 3.39805964305426E-02 
406	 3.43125677840225E-02 
407	 3.45872959947567E-02 
408	 3.48525951121618E-02 
409	 3.51858376204953E-02 
410	 3.56414012765788E-02 
411	 3.59870291957834E-02 
412	 3.63272693873408E-02 
413	 3.67054801326732E-02 
414	 3.70009968823668E-02 
415	 3.73630344645167E-02 
416	 3.77012547478721E-02 
417	 3.78757973049735E-02 
418	 3.80540636583184E-02 
419	 0.038301926332916 
420	 3.86286408321963E-02 
421	 3.89811218203291E-02 
422	 3.93090125490351E-02 
423	 3.95871593147773E-02 
424	 3.98252660629612E-02 
