Wavelength	09/27/123 at 12:15:08
350	 1.00957414361863E-02 
351	 9.82955911499387E-03 
352	 1.00221724219779E-02 
353	 1.02494214626222E-02 
354	 9.88805471140331E-03 
355	 0.010289708265413 
356	 1.05785622538858E-02 
357	 1.02967948317707E-02 
358	 1.02537267342224E-02 
359	 1.05339255220219E-02 
360	 1.07508806364641E-02 
361	 1.04132757353334E-02 
362	 1.04963474457291E-02 
363	 1.06685817103902E-02 
364	 1.06406796281909E-02 
365	 0.010473526316667 
366	 1.05179718171304E-02 
367	 1.05771172380555E-02 
368	 1.02922743982484E-02 
369	 1.05616161325174E-02 
370	 1.08798065592042E-02 
371	 1.08980873809623E-02 
372	 1.09943493151033E-02 
373	 1.09923038733776E-02 
374	 1.09215951193498E-02 
375	 1.09113006891684E-02 
376	 1.10175011052011E-02 
377	 1.12230137109343E-02 
378	 1.14731925221341E-02 
379	 1.16929443362707E-02 
380	 1.16027748593919E-02 
381	 0.011430363120456 
382	 1.16399318815628E-02 
383	 1.21385497253417E-02 
384	 1.25567156345983E-02 
385	 1.26440865385046E-02 
386	 1.24426152845273E-02 
387	 1.23946610050472E-02 
388	 0.012607380597702 
389	 1.29790831633212E-02 
390	 1.32221359131472E-02 
391	 1.35192340072722E-02 
392	 1.39245362789826E-02 
393	 1.41566321707187E-02 
394	 1.44015680273992E-02 
395	 1.46526985660024E-02 
396	 1.48374660327773E-02 
397	 1.49271980046875E-02 
398	 1.51621716170643E-02 
399	 1.56051684144635E-02 
400	 1.60462793210664E-02 
401	 1.62758491114549E-02 
402	 1.64180870064955E-02 
403	 1.67025338737373E-02 
404	 1.70416687995565E-02 
405	 1.73751682045205E-02 
406	 1.77040009779825E-02 
407	 1.81500022864314E-02 
408	 1.85349699123011E-02 
409	 1.88681310797894E-02 
410	 1.92287830903159E-02 
411	 1.96378667244063E-02 
412	 2.00186480786348E-02 
413	 2.03537992533473E-02 
414	 2.07345413814025E-02 
415	 2.11611863298577E-02 
416	 2.15457131971632E-02 
417	 2.17904523538605E-02 
418	 2.19969287189374E-02 
419	 0.022249463298391 
420	 2.25735641803971E-02 
421	 2.29190177098443E-02 
422	 2.31845344742003E-02 
423	 0.02341737866417 
424	 2.37056547184196E-02 
425	 2.39849945685212E-02 
426	 2.42539623065609E-02 
427	 2.45049852242585E-02 
428	 2.47131806261064E-02 
429	 2.49049579813143E-02 
430	 2.50857109208027E-02 
431	 2.52499092140016E-02 
432	 0.025370640428629 
433	 2.54726011238661E-02 
434	 2.55828010072195E-02 
435	 2.57236208613811E-02 
436	 2.59818802434516E-02 
437	 0.026228786490902 
438	 2.63344547161742E-02 
439	 2.65654282762826E-02 
440	 2.67534192680194E-02 
441	 2.68445677663382E-02 
442	 2.69599495742307E-02 
443	 2.71654457941404E-02 
444	 2.73841363561933E-02 
445	 2.75322143906557E-02 
446	 0.027734245016574 
447	 2.79851776990724E-02 
448	 2.82452401493046E-02 
449	 2.84435220593522E-02 
450	 0.028653044156755 
451	 0.028843147951231 
452	 2.89785767491311E-02 
453	 2.91482736842871E-02 
454	 2.93405992493179E-02 
455	 2.95170008861548E-02 
456	 2.96144118924487E-02 
457	 2.97321186995831E-02 
458	 2.98832416912603E-02 
459	 3.00409281012717E-02 
460	 3.01189384240855E-02 
461	 3.01654859993439E-02 
462	 3.02277123649102E-02 
463	 3.03423342217655E-02 
464	 3.04165358731096E-02 
465	 0.030489749387233 
466	 3.06024558590493E-02 
467	 3.06650139907586E-02 
468	 3.06915872361761E-02 
469	 3.07288018450349E-02 
470	 0.030846970329414 
471	 3.09559176205539E-02 
472	 3.10557928459861E-02 
473	 3.11583155953588E-02 
474	 3.12443683820615E-02 
475	 0.031338007394888 
476	 0.031433139985579 
477	 3.15023900176763E-02 
478	 3.15929709477103E-02 
479	 3.17150728944183E-02 
480	 3.18594758385404E-02 
481	 3.19847098274876E-02 
482	 3.20814526233991E-02 
483	 3.21892767830878E-02 
484	 3.23745494297267E-02 
485	 3.25204450384807E-02 
486	 3.26867925415223E-02 
487	 3.29002707199599E-02 
488	 3.30084761373932E-02 
489	 3.32168650640755E-02 
490	 3.35085101511398E-02 
491	 3.37580607611448E-02 
492	 3.40568682122256E-02 
493	 3.43539824950969E-02 
494	 3.46311209410585E-02 
495	 3.49766476380943E-02 
496	 3.53447951516708E-02 
497	 3.57549495281217E-02 
498	 3.62530782017665E-02 
499	 3.68632786814219E-02 
500	 0.037501454860911 
501	 3.81337527716796E-02 
502	 3.88392928633857E-02 
503	 3.95965426253262E-02 
504	 4.03919002034191E-02 
505	 0.041232392695685 
506	 4.22277435381731E-02 
507	 4.32927467768257E-02 
508	 4.43708345782021E-02 
509	 4.54572660416031E-02 
510	 4.67153444203023E-02 
511	 4.81241058859455E-02 
512	 4.96073608600189E-02 
513	 0.051152224648512 
514	 5.27715994739611E-02 
515	 5.44873375148225E-02 
516	 5.63204484627063E-02 
517	 5.82830536026284E-02 
518	 6.03473484991579E-02 
519	 6.24250039917005E-02 
520	 0.064353550324099 
521	 6.63286909012894E-02 
522	 6.84077684717268E-02 
523	 7.04907687125263E-02 
524	 7.25287344020304E-02 
525	 7.44843884676747E-02 
526	 7.63616606004907E-02 
527	 7.82829194228863E-02 
528	 8.00631150399946E-02 
529	 8.16768498465835E-02 
530	 8.32508518010982E-02 
531	 8.46741124174384E-02 
532	 8.60101133216405E-02 
533	 0.087287037022913 
534	 8.84048611263226E-02 
535	 0.089447326353788 
536	 9.04035856722065E-02 
537	 9.12188567117132E-02 
538	 9.20022154662812E-02 
539	 9.27481306922146E-02 
540	 9.34410115382366E-02 
541	 9.40819694562591E-02 
542	 9.46747640531577E-02 
543	 9.52262859504441E-02 
544	 0.095747739962296 
545	 9.62394624148823E-02 
546	 9.67156119547446E-02 
547	 9.71613268023119E-02 
548	 9.75046366069868E-02 
549	 9.78462278024629E-02 
550	 0.098172729241924 
551	 9.84281777508157E-02 
552	 9.85587047683466E-02 
553	 9.85683000097854E-02 
554	 9.84660287662145E-02 
555	 9.82605936857688E-02 
556	 9.79410724404215E-02 
557	 9.75275172580381E-02 
558	 9.70385895130147E-02 
559	 9.64325143914366E-02 
560	 9.57182514410694E-02 
561	 9.49523331071615E-02 
562	 9.42161583209808E-02 
563	 9.33401853255866E-02 
564	 9.23468910511012E-02 
565	 9.12882465401577E-02 
566	 0.090162301953557 
567	 8.90352030332154E-02 
568	 8.78933190437832E-02 
569	 8.66725510072305E-02 
570	 8.54911178119524E-02 
571	 8.43288708996299E-02 
572	 8.31730251064773E-02 
573	 8.20611829213639E-02 
574	 8.09898286514571E-02 
575	 7.99652030015177E-02 
576	 0.079019291202567 
577	 7.82145903131192E-02 
578	 7.74389684438839E-02 
579	 7.66552099105034E-02 
580	 7.59639728524768E-02 
581	 7.53047280465762E-02 
582	 7.47051316302928E-02 
583	 7.41896078124357E-02 
584	 0.07362030723715 
585	 7.30567835945163E-02 
586	 7.25729321815299E-02 
587	 7.22351399636498E-02 
588	 7.18508654367208E-02 
589	 7.14247399476104E-02 
590	 7.10305564103475E-02 
591	 7.06923826392104E-02 
592	 7.03960789408416E-02 
593	 0.070145312472456 
594	 6.99655052654963E-02 
595	 6.97789937901349E-02 
596	 6.95723683036097E-02 
597	 6.93516636173446E-02 
598	 6.91394843973962E-02 
599	 0.068921053141308 
600	 6.86842816546649E-02 
601	 0.068418208696267 
602	 6.81037727980625E-02 
603	 6.77381730979283E-02 
604	 6.73301165058048E-02 
605	 6.69013899142451E-02 
606	 6.64103366080454E-02 
607	 6.58984467080127E-02 
608	 6.54062252027568E-02 
609	 6.48768939088245E-02 
610	 6.42636434009714E-02 
611	 6.36121079820874E-02 
612	 6.30410534930132E-02 
613	 6.24126310064308E-02 
614	 6.18088578845755E-02 
615	 6.12953272899057E-02 
616	 6.07585782618581E-02 
617	 6.02209955685488E-02 
618	 5.97366150161734E-02 
619	 5.93478019466833E-02 
620	 5.89821762060395E-02 
621	 5.86756797387073E-02 
622	 5.84423030842569E-02 
623	 5.82364869188653E-02 
624	 5.80519650119207E-02 
625	 5.79057578373737E-02 
626	 5.78139746260197E-02 
627	 5.77151406199019E-02 
628	 5.76616700868839E-02 
629	 5.76593619282752E-02 
630	 0.057648559066904 
631	 5.75737998724593E-02 
632	 5.74463475314147E-02 
633	 5.72986963178478E-02 
634	 5.71729489828235E-02 
635	 5.69703778484629E-02 
636	 5.66575517697373E-02 
637	 5.62583853821119E-02 
638	 5.58429173138343E-02 
639	 5.53773364421878E-02 
640	 5.48406621197904E-02 
641	 0.054277879574526 
642	 5.37013584320276E-02 
643	 5.30686280580939E-02 
644	 5.23448469570012E-02 
645	 5.17017296050776E-02 
646	 5.10888416389962E-02 
647	 5.05033062295764E-02 
648	 5.00058556587035E-02 
649	 4.95705936517025E-02 
650	 4.91456225948216E-02 
651	 4.86988033206502E-02 
652	 4.82832632592286E-02 
653	 4.79106023182228E-02 
654	 4.75678841205802E-02 
655	 4.72000484763021E-02 
656	 4.67323888170401E-02 
657	 4.61493849427908E-02 
658	 4.55208269598334E-02 
659	 4.49457254390813E-02 
660	 4.43105579800486E-02 
661	 4.36893823175964E-02 
662	 4.31542369391251E-02 
663	 4.25091915089568E-02 
664	 4.19161604354195E-02 
665	 4.14293326493603E-02 
666	 4.09604752650901E-02 
667	 4.06083140992335E-02 
668	 4.03090355709275E-02 
669	 0.040022029041197 
670	 3.98731685752806E-02 
671	 3.97831120132515E-02 
672	 3.97041787627342E-02 
673	 3.96226583932371E-02 
674	 0.039671686238227 
675	 3.97515319601559E-02 
676	 3.98168089768227E-02 
677	 3.99356925201026E-02 
678	 4.01247335663898E-02 
679	 4.04088590376719E-02 
680	 4.07975279667321E-02 
681	 4.12398513970425E-02 
682	 4.17775752698291E-02 
683	 4.24682993040163E-02 
684	 4.33761753361524E-02 
685	 4.45837289098835E-02 
686	 4.62091980410099E-02 
687	 4.82497013725519E-02 
688	 0.050076691594844 
689	 5.20855366565154E-02 
690	 5.44601331977858E-02 
691	 5.72119645362564E-02 
