Wavelength	09/27/123 at 12:33:59
350	 2.40902426214571E-02 
351	 0.023823126016448 
352	 2.41360262134266E-02 
353	 2.44814867852073E-02 
354	 2.41537458898539E-02 
355	 2.45003961421726E-02 
356	 2.47183648736803E-02 
357	 2.44102369080635E-02 
358	 2.44526555073026E-02 
359	 2.44903690095258E-02 
360	 2.45125899970792E-02 
361	 2.46014278142489E-02 
362	 2.43376634216601E-02 
363	 2.42832923009231E-02 
364	 2.46421280706424E-02 
365	 2.47240730763154E-02 
366	 2.45824444670411E-02 
367	 2.42820590814471E-02 
368	 2.39797010291539E-02 
369	 2.43896084968524E-02 
370	 2.46748154052237E-02 
371	 2.44000938961632E-02 
372	 2.44160704615934E-02 
373	 2.45331143008655E-02 
374	 2.45816496122107E-02 
375	 2.44124826352938E-02 
376	 2.43541661591546E-02 
377	 2.45514677445361E-02 
378	 2.48913720960394E-02 
379	 2.47533537106544E-02 
380	 2.44612294828438E-02 
381	 2.42720594158206E-02 
382	 2.43960156953589E-02 
383	 2.46215358380466E-02 
384	 2.47587735529769E-02 
385	 2.47566546276741E-02 
386	 2.48741018244381E-02 
387	 2.48022432142275E-02 
388	 2.47141336677622E-02 
389	 2.49216532586401E-02 
390	 2.50109087423942E-02 
391	 2.49891232160192E-02 
392	 2.49461866775627E-02 
393	 2.50312223140738E-02 
394	 2.52344379077028E-02 
395	 0.025314286183354 
396	 2.50446937966743E-02 
397	 2.50299574674197E-02 
398	 2.52519807451523E-02 
399	 2.55346413504425E-02 
400	 2.55496439801553E-02 
401	 2.55385059084357E-02 
402	 2.55304645222729E-02 
403	 2.55001991580388E-02 
404	 2.55622395738837E-02 
405	 2.56447388653948E-02 
406	 2.57017942175878E-02 
407	 2.57594112929699E-02 
408	 2.58480596235424E-02 
409	 2.59759187771117E-02 
410	 2.61339546758132E-02 
411	 0.026267527321559 
412	 2.64229814673084E-02 
413	 2.66145961043944E-02 
414	 0.026784777458128 
415	 2.69971564112664E-02 
416	 2.71857233658148E-02 
417	 2.72611283872407E-02 
418	 0.027317169032438 
419	 2.74398692475872E-02 
420	 2.76525787562413E-02 
421	 0.027898929049714 
422	 0.028033465414819 
423	 2.81665230576829E-02 
424	 0.028454611766174 
425	 2.86462871441312E-02 
426	 2.88338038214873E-02 
427	 2.90521444036197E-02 
428	 0.029201882170973 
429	 2.93808613181801E-02 
430	 0.029545964638192 
431	 2.96378403329739E-02 
432	 2.97822600784779E-02 
433	 0.029950103748585 
434	 3.01069785795866E-02 
435	 3.02220534273412E-02 
436	 3.04273686360317E-02 
437	 3.06519140186136E-02 
438	 3.07876440762272E-02 
439	 3.08914560034372E-02 
440	 3.10473600370965E-02 
441	 3.12430724372928E-02 
442	 3.13374577179205E-02 
443	 3.15065310157181E-02 
444	 3.16956611428095E-02 
445	 3.18192751896187E-02 
446	 3.19893113886009E-02 
447	 3.21946595150232E-02 
448	 3.24097630800787E-02 
449	 3.26033646362387E-02 
450	 3.27740845888828E-02 
451	 3.29043501605152E-02 
452	 3.29911197314065E-02 
453	 3.31141740926281E-02 
454	 3.32534884494274E-02 
455	 3.33733080599534E-02 
456	 3.34263772333259E-02 
457	 3.35096113620255E-02 
458	 3.36178385701418E-02 
459	 3.37158869681151E-02 
460	 3.37653637032247E-02 
461	 3.38402531279907E-02 
462	 0.03393524435554 
463	 3.39567218071961E-02 
464	 3.40235446809124E-02 
465	 3.41252555587615E-02 
466	 3.42195003608637E-02 
467	 3.42816068366897E-02 
468	 3.43254725484802E-02 
469	 0.034368926153763 
470	 3.44321169482636E-02 
471	 3.45122982902075E-02 
472	 3.46017286034899E-02 
473	 3.46872030594617E-02 
474	 3.47460430409922E-02 
475	 3.47925249611537E-02 
476	 3.48360952482466E-02 
477	 3.48827085176878E-02 
478	 3.49501280796348E-02 
479	 3.50247586368722E-02 
480	 3.51039335696288E-02 
481	 3.52471827214033E-02 
482	 0.03531600353795 
483	 3.53211910484898E-02 
484	 0.035381882710782 
485	 3.55051469585452E-02 
486	 3.56856399324446E-02 
487	 3.58817066096805E-02 
488	 3.59715044887476E-02 
489	 3.60904686515562E-02 
490	 3.62715874840556E-02 
491	 3.64821812311944E-02 
492	 3.66039075171172E-02 
493	 3.67919417661262E-02 
494	 3.71071338115225E-02 
495	 3.73241244013227E-02 
496	 3.75376607273005E-02 
497	 3.78160655052128E-02 
498	 3.82137426243809E-02 
499	 3.87096617074568E-02 
500	 3.91960342260004E-02 
501	 3.96423185587247E-02 
502	 4.01765726514627E-02 
503	 4.07149302619035E-02 
504	 4.12662089392694E-02 
505	 4.18812814878994E-02 
506	 4.26317494300071E-02 
507	 0.043454480062889 
508	 4.43088568696633E-02 
509	 4.51995733084811E-02 
510	 4.61318943306314E-02 
511	 4.72024381790306E-02 
512	 4.84834281421804E-02 
513	 4.97468919974658E-02 
514	 5.10614726626718E-02 
515	 5.24769934097698E-02 
516	 5.39889746284632E-02 
517	 5.56600570765492E-02 
518	 5.74278113798539E-02 
519	 5.91829140997947E-02 
520	 6.08884247768611E-02 
521	 6.25903457015389E-02 
522	 6.43443578436119E-02 
523	 6.61884183868722E-02 
524	 6.79426131220244E-02 
525	 6.95885142573034E-02 
526	 7.11727674802636E-02 
527	 7.28139589023139E-02 
528	 7.44217181580397E-02 
529	 7.59003371424481E-02 
530	 7.72015970046144E-02 
531	 7.84512100774878E-02 
532	 7.96465670768841E-02 
533	 8.07604977142998E-02 
534	 8.18059387682437E-02 
535	 8.28073976231359E-02 
536	 8.37254315001058E-02 
537	 8.44931770506886E-02 
538	 8.51989034949287E-02 
539	 0.085893573867396 
540	 8.65919382334636E-02 
541	 8.72494662182377E-02 
542	 8.78719833550566E-02 
543	 8.84721188759473E-02 
544	 8.90618664513135E-02 
545	 8.95799645240524E-02 
546	 9.00634933693616E-02 
547	 0.090533620476849 
548	 9.09638323089031E-02 
549	 9.14163924497917E-02 
550	 9.18326005896458E-02 
551	 9.21281324752491E-02 
552	 0.092318786761638 
553	 9.24079551042116E-02 
554	 9.23770205596778E-02 
555	 0.092179844036288 
556	 0.091910903058185 
557	 9.15583476717349E-02 
558	 9.10917115089293E-02 
559	 9.05164572907479E-02 
560	 8.98822130743369E-02 
561	 8.92014503103667E-02 
562	 8.84436340553344E-02 
563	 8.75736922169115E-02 
564	 8.66022387522943E-02 
565	 8.55623722385435E-02 
566	 8.45123889937312E-02 
567	 8.34623894290063E-02 
568	 8.23560299230457E-02 
569	 8.11069306590025E-02 
570	 0.079934615973588 
571	 7.88269160600683E-02 
572	 7.77503812424956E-02 
573	 7.66951114678204E-02 
574	 7.57136868146767E-02 
575	 7.47768342565141E-02 
576	 0.07385509581097 
577	 7.30980469647802E-02 
578	 7.24506958680282E-02 
579	 0.071847799037228 
580	 7.12341900442934E-02 
581	 7.06395558467569E-02 
582	 7.00703211226672E-02 
583	 6.95241666167102E-02 
584	 6.89682460695596E-02 
585	 6.84836105638502E-02 
586	 6.80965738462857E-02 
587	 6.77587924269587E-02 
588	 6.74013219562915E-02 
589	 6.70459748917745E-02 
590	 6.67358879503103E-02 
591	 6.64188205961918E-02 
592	 6.61181831146562E-02 
593	 6.58474813087273E-02 
594	 6.56245955217015E-02 
595	 6.54009818809128E-02 
596	 6.51702679924988E-02 
597	 6.49405989712773E-02 
598	 6.47384263957083E-02 
599	 6.45374073369104E-02 
600	 6.43094469241944E-02 
601	 6.40368786734364E-02 
602	 6.37757908908743E-02 
603	 6.34763832264354E-02 
604	 6.31182699695315E-02 
605	 6.27401175790324E-02 
606	 6.22336942539722E-02 
607	 6.17062514285852E-02 
608	 6.12789001876734E-02 
609	 6.08341075829275E-02 
610	 0.060316896523598 
611	 5.97547350679177E-02 
612	 5.92403385964501E-02 
613	 5.86615668887579E-02 
614	 5.81175570406001E-02 
615	 5.76880863128987E-02 
616	 5.72744037513827E-02 
617	 5.68613732479218E-02 
618	 5.64545021610629E-02 
619	 5.60644241837448E-02 
620	 5.57540690999958E-02 
621	 5.54909781560767E-02 
622	 5.52530377439993E-02 
623	 5.50689253416196E-02 
624	 5.49409545352856E-02 
625	 5.48514516529389E-02 
626	 5.47755161435532E-02 
627	 5.47016872450088E-02 
628	 5.46563216191498E-02 
629	 5.46222267360199E-02 
630	 0.054528359211328 
631	 5.44406618141919E-02 
632	 5.43148744813806E-02 
633	 5.41089073082613E-02 
634	 5.38744037580696E-02 
635	 0.053615740134686 
636	 5.33094530271325E-02 
637	 5.29159822490479E-02 
638	 5.24162617275411E-02 
639	 5.18883713722635E-02 
640	 5.13816130054427E-02 
641	 5.08650922626522E-02 
642	 5.03223832787442E-02 
643	 4.97427185812532E-02 
644	 4.91369797858502E-02 
645	 0.04863511902875 
646	 0.048154522487486 
647	 4.76827526670351E-02 
648	 4.72999014679613E-02 
649	 4.69981527478267E-02 
650	 4.67112027177355E-02 
651	 4.63883298530392E-02 
652	 4.60774249589099E-02 
653	 4.58033642894603E-02 
654	 4.55703727541266E-02 
655	 4.53514409646738E-02 
656	 4.51003715635199E-02 
657	 4.47725726834139E-02 
658	 4.43767764100327E-02 
659	 4.39403436811584E-02 
660	 4.35444746162739E-02 
661	 4.31837745561649E-02 
662	 4.28122089430252E-02 
663	 4.24010999169536E-02 
664	 4.20885256755316E-02 
665	 0.041880471474458 
666	 4.16347423349295E-02 
667	 4.14070755322301E-02 
668	 4.12294157692022E-02 
669	 4.11397628229511E-02 
670	 4.12199772473887E-02 
671	 4.13188836839737E-02 
672	 4.13930629620245E-02 
673	 4.14734099170394E-02 
674	 4.16665361481053E-02 
675	 4.19229588660411E-02 
676	 4.21992841925265E-02 
677	 4.24910898000403E-02 
678	 4.28259882703847E-02 
679	 4.32567851321999E-02 
680	 4.38073805716079E-02 
681	 4.43669093519149E-02 
682	 0.044998100443697 
683	 4.57671411820472E-02 
684	 4.67353487460456E-02 
685	 4.79735033292708E-02 
686	 4.96953128253102E-02 
687	 5.18683285753251E-02 
688	 5.34843802059599E-02 
689	 5.52181483224432E-02 
690	 5.73265181985163E-02 
691	 5.98634948767689E-02 
692	 6.30207945114011E-02 
693	 6.69096454061504E-02 
694	 7.14679738551892E-02 
695	 7.63823259340162E-02 
696	 8.17468033414395E-02 
697	 8.76101633432197E-02 
698	 9.41190388057224E-02 
699	 0.101159446945293 
700	 0.108546300092441 
701	 0.116191703349369 
702	 0.124046631466004 
703	 0.131928546732256 
704	 0.139879883038991 
705	 0.147997927533844 
706	 0.156191201869185 
707	 0.164528577945966 
708	 0.172996260521683 
709	 0.181556608646347 
710	 0.190081322015319 
711	 0.198723564303224 
712	 0.207615347660587 
713	 0.21674700641288 
714	 0.225812060170098 
715	 0.234777197544272 
716	 0.244045657448247 
717	 0.253964173604625 
718	 0.264205399853672 
719	 0.27435689884028 
720	 0.283794768620735 
721	 0.292214351390724 
722	 0.300274805949908 
723	 0.309055910903392 
724	 0.318496923761435 
725	 0.327584489358433 
726	 0.33599825911517 
727	 0.344028535321768 
728	 0.35197097385408 
729	 0.359612398057721 
730	 0.36698198920933 
731	 0.374064997247248 
732	 0.380648000185924 
733	 0.386662414852533 
734	 0.392359300881231 
735	 0.398041612736907 
736	 0.403720444207782 
737	 0.408986832385624 
738	 0.413758796265595 
739	 0.418398996167437 
740	 0.422778192404885 
741	 0.426893297262743 
742	 0.430748175678116 
743	 0.434296742440086 
744	 0.43752094126786 
745	 0.440515301050855 
746	 0.443378335523354 
747	 0.445999011755687 
748	 0.44843938833074 
749	 0.450699642424617 
750	 0.452686614374118 
751	 0.454691861340786 
752	 0.456582925698782 
753	 0.458206462534065 
754	 0.45962929045377 
755	 0.461104152104344 
756	 0.462753819274591 
