Wavelength	09/27/123 at 12:40:23
350	 1.66001747557208E-02 
351	 1.64156062276085E-02 
352	 1.63425414361461E-02 
353	 0.016340040238805 
354	 1.64664456593082E-02 
355	 1.68650237752792E-02 
356	 1.68179113709372E-02 
357	 1.62068146447925E-02 
358	 0.016215707989227 
359	 1.67163214607112E-02 
360	 1.72216825513056E-02 
361	 1.71283942735633E-02 
362	 1.67974296454917E-02 
363	 1.66749605159306E-02 
364	 1.68391168997488E-02 
365	 1.66163802338621E-02 
366	 1.64785545550574E-02 
367	 1.64907911503638E-02 
368	 0.016555460076082 
369	 1.68760868857847E-02 
370	 1.69238579647302E-02 
371	 1.65221586680091E-02 
372	 1.64424350563204E-02 
373	 1.64251970738986E-02 
374	 1.64193285215611E-02 
375	 1.64504439854911E-02 
376	 1.65004046790424E-02 
377	 1.66374437992166E-02 
378	 1.68171435543184E-02 
379	 1.66938512048728E-02 
380	 1.66268924391696E-02 
381	 1.67644970020868E-02 
382	 1.71074510072244E-02 
383	 1.72364782278369E-02 
384	 1.72493234494444E-02 
385	 1.71977553696106E-02 
386	 1.67855799926826E-02 
387	 0.016953081647634 
388	 1.73279748708117E-02 
389	 1.71034388220052E-02 
390	 0.017269024712129 
391	 1.75991856404218E-02 
392	 1.78283805328474E-02 
393	 1.78360404950924E-02 
394	 1.78824756206483E-02 
395	 1.79890053094944E-02 
396	 1.81005299904277E-02 
397	 1.83750359130428E-02 
398	 1.85837316331716E-02 
399	 0.018678541509919 
400	 0.018981315184244 
401	 1.91473787547677E-02 
402	 1.92309589773347E-02 
403	 1.93888866297756E-02 
404	 1.93876671290869E-02 
405	 1.94097188884688E-02 
406	 1.95572818048851E-02 
407	 1.97393306254502E-02 
408	 1.98678227663058E-02 
409	 1.99894350946612E-02 
410	 2.01895549165116E-02 
411	 2.03931475536929E-02 
412	 2.05314453706958E-02 
413	 2.06179434906898E-02 
414	 2.07989767646485E-02 
415	 2.10097520249188E-02 
416	 2.11574094571803E-02 
417	 2.11621152495719E-02 
418	 2.11220711453693E-02 
419	 2.12133161675315E-02 
420	 0.021448200548506 
421	 2.15811149847568E-02 
422	 2.16352350212598E-02 
423	 2.16449886737835E-02 
424	 2.16654791605741E-02 
425	 2.17774528878207E-02 
426	 2.18937238385781E-02 
427	 2.19506244237806E-02 
428	 0.021938306327826 
429	 2.19115658101613E-02 
430	 2.19148920171995E-02 
431	 2.19640815794422E-02 
432	 2.19340098483269E-02 
433	 0.021941631148693 
434	 2.19945828421126E-02 
435	 2.19285544961414E-02 
436	 2.19831848532256E-02 
437	 2.20565703648635E-02 
438	 2.19965935510521E-02 
439	 0.021981764572401 
440	 2.19895202476273E-02 
441	 2.19880774523398E-02 
442	 2.19469623906588E-02 
443	 2.19537479549535E-02 
444	 2.19834039549948E-02 
445	 2.19996856650078E-02 
446	 2.20948662023106E-02 
447	 2.21923708944118E-02 
448	 2.22590892988599E-02 
449	 2.23269115313336E-02 
450	 2.24047932716977E-02 
451	 2.24627438384192E-02 
452	 2.24716442280293E-02 
453	 2.24712062980378E-02 
454	 0.022447901881315 
455	 2.24289773177914E-02 
456	 2.24915353989013E-02 
457	 2.25408497843366E-02 
458	 2.25823004485375E-02 
459	 2.26341744967581E-02 
460	 2.26420526075378E-02 
461	 2.26596374491255E-02 
462	 2.27044697438661E-02 
463	 2.27505455348431E-02 
464	 2.28134950689667E-02 
465	 2.28904604626207E-02 
466	 2.29660854599652E-02 
467	 2.29911615369052E-02 
468	 2.30594835110077E-02 
469	 2.31404774312992E-02 
470	 2.30954486526738E-02 
471	 2.31496520193822E-02 
472	 2.32323284518768E-02 
473	 2.32500751159671E-02 
474	 2.32618310758594E-02 
475	 2.32744116969016E-02 
476	 2.32595410226973E-02 
477	 2.31699297627416E-02 
478	 2.31540929146465E-02 
479	 2.31974024034601E-02 
480	 2.32483859219661E-02 
481	 2.32427459637916E-02 
482	 2.32701340462577E-02 
483	 2.33428354103983E-02 
484	 0.023412671495052 
485	 2.34042628914356E-02 
486	 2.34307542449884E-02 
487	 2.35395491549619E-02 
488	 2.35161763433878E-02 
489	 2.35025622901637E-02 
490	 2.35150499875416E-02 
491	 2.35068869610444E-02 
492	 2.34934166920736E-02 
493	 2.35043515876004E-02 
494	 2.35433913831539E-02 
495	 2.35402700514108E-02 
496	 2.36204773008829E-02 
497	 0.023756771879192 
498	 2.38671020954095E-02 
499	 2.40718702619183E-02 
500	 2.43076288942873E-02 
501	 2.45464997582532E-02 
502	 2.48665252274754E-02 
503	 2.51939418359299E-02 
504	 2.55250464121558E-02 
505	 2.58884528689292E-02 
506	 2.63373857741689E-02 
507	 2.67588831919158E-02 
508	 2.71261917614981E-02 
509	 2.75536894320426E-02 
510	 2.80377079258135E-02 
511	 2.85388649443597E-02 
512	 2.90191861444325E-02 
513	 2.95382171912956E-02 
514	 3.00341327235776E-02 
515	 3.05150724698929E-02 
516	 3.10844569342532E-02 
517	 3.16207576822384E-02 
518	 3.21888146584201E-02 
519	 3.28241291088439E-02 
520	 3.32681267293954E-02 
521	 3.37220105091237E-02 
522	 3.42524123967435E-02 
