Wavelength	09/27/123 at 12:16:33
350	 7.87129217547668E-03 
351	 7.56006482163426E-03 
352	 7.74096527550842E-03 
353	 7.88827866599779E-03 
354	 7.25829675091688E-03 
355	 0.007610403557477 
356	 7.89319698625525E-03 
357	 7.56435007172026E-03 
358	 7.7222985372163E-03 
359	 7.84492126876028E-03 
360	 7.77768569598553E-03 
361	 7.55635346826368E-03 
362	 7.53507852512952E-03 
363	 7.79477038241114E-03 
364	 8.16455493374694E-03 
365	 8.01970385652455E-03 
366	 7.88218320230971E-03 
367	 7.82364451394112E-03 
368	 7.75268865627201E-03 
369	 8.06960167722563E-03 
370	 8.20440058127989E-03 
371	 7.88477608104203E-03 
372	 7.70096566201883E-03 
373	 7.77233958958816E-03 
374	 8.01189942010468E-03 
375	 8.18685098161622E-03 
376	 8.15611829343224E-03 
377	 8.14787903937382E-03 
378	 8.25214577474216E-03 
379	 8.11486191349815E-03 
380	 8.08158733988668E-03 
381	 8.13978802155555E-03 
382	 8.13601264231662E-03 
383	 8.36411085768523E-03 
384	 8.53026902531767E-03 
385	 8.47958937636654E-03 
386	 8.52758612716242E-03 
387	 8.4692431788309E-03 
388	 8.37529912211785E-03 
389	 8.42480126116534E-03 
390	 8.66720883151547E-03 
391	 8.86817475848187E-03 
392	 8.91498001288218E-03 
393	 8.96457814934543E-03 
394	 8.94392608287542E-03 
395	 8.93346309941644E-03 
396	 9.03190234468238E-03 
397	 9.0070134495437E-03 
398	 9.08056675837107E-03 
399	 9.2880236445795E-03 
400	 9.30222515704646E-03 
401	 9.23716507649797E-03 
402	 9.20138711288386E-03 
403	 9.28338734145333E-03 
404	 9.35327635679458E-03 
405	 9.39320718207464E-03 
406	 9.4271187023396E-03 
407	 9.54079446245997E-03 
408	 9.60940104121676E-03 
409	 9.66163449224433E-03 
410	 9.77133988429294E-03 
411	 9.8676064179417E-03 
412	 1.00432083253681E-02 
413	 1.02849231731546E-02 
414	 1.03708642494833E-02 
415	 1.05118075950603E-02 
416	 1.06558377656411E-02 
417	 1.06840262546301E-02 
