Wavelength	09/27/123 at 12:35:32
350	 2.11985484046652E-02 
351	 0.021321487565452 
352	 2.18317026784602E-02 
353	 2.21956331642371E-02 
354	 2.18555525402241E-02 
355	 2.19296482096143E-02 
356	 2.19772839626554E-02 
357	 0.021788356719272 
358	 0.021982130035618 
359	 2.22590711272507E-02 
360	 0.022474323954385 
361	 0.022563591633639 
362	 2.26879281051156E-02 
363	 2.27768010824349E-02 
364	 2.27541640950873E-02 
365	 2.25492766328735E-02 
366	 2.24235042935385E-02 
367	 2.24756476259212E-02 
368	 2.26971152005509E-02 
369	 2.29035076542263E-02 
370	 2.28994465337681E-02 
371	 2.27278427572045E-02 
372	 2.29783395659773E-02 
373	 2.31322296773792E-02 
374	 2.30767236693009E-02 
375	 2.29368033770532E-02 
376	 2.31268207496943E-02 
377	 2.33893037536236E-02 
378	 2.34946239675525E-02 
379	 2.34304291455814E-02 
380	 2.36335836591328E-02 
381	 2.39479294306887E-02 
382	 2.39711228300094E-02 
383	 2.41693724224176E-02 
384	 2.44201756621708E-02 
385	 2.45757314519112E-02 
386	 2.46072164452445E-02 
387	 2.45550793040616E-02 
388	 0.024529886124673 
389	 0.024667070201336 
390	 2.50583171981088E-02 
391	 2.53832467400238E-02 
392	 2.55018258743638E-02 
393	 2.56756462530241E-02 
394	 2.57846003260298E-02 
395	 2.57838564742707E-02 
396	 2.56969484235854E-02 
397	 2.58586352596852E-02 
398	 2.59958087016496E-02 
399	 2.60156704857284E-02 
400	 2.62286221656214E-02 
401	 2.63524706562284E-02 
402	 2.64254300766737E-02 
403	 2.65793718493629E-02 
404	 2.67480928040325E-02 
405	 2.68705786021929E-02 
406	 2.69235998120522E-02 
407	 2.69333764855073E-02 
408	 2.70222537921962E-02 
409	 2.71844679342237E-02 
410	 2.73565721068251E-02 
411	 2.74855480973046E-02 
412	 2.76075347948831E-02 
413	 2.77480943790508E-02 
414	 2.78951124674456E-02 
415	 2.81156980660873E-02 
416	 0.028307856787044 
417	 2.83479520713811E-02 
418	 0.028441658360606 
419	 2.85525426084472E-02 
420	 2.86668638658401E-02 
421	 2.88496571976002E-02 
422	 2.90254723887746E-02 
423	 2.92017068461426E-02 
424	 2.94073593335614E-02 
425	 0.029613558082205 
426	 2.97862480087777E-02 
427	 2.99264119107865E-02 
428	 0.03008560178844 
429	 3.02861396319483E-02 
430	 3.04786590358966E-02 
431	 3.06124358212445E-02 
432	 3.07903838841151E-02 
433	 3.09688176795152E-02 
434	 3.11206510525705E-02 
435	 3.12483937716944E-02 
436	 3.14779654459136E-02 
437	 3.17424721696612E-02 
438	 3.19348703993543E-02 
439	 3.20920777726674E-02 
440	 3.22740994404043E-02 
441	 3.24703112304705E-02 
442	 3.25722848836671E-02 
443	 3.27720435929697E-02 
444	 3.30109038650264E-02 
445	 3.31894135965587E-02 
446	 3.34084108516434E-02 
447	 3.35956611025411E-02 
448	 3.37442588842249E-02 
449	 3.39411279546534E-02 
450	 3.41374094063409E-02 
451	 3.43153833861442E-02 
452	 3.44749224862935E-02 
453	 3.46669579545472E-02 
454	 3.48450783068572E-02 
455	 3.49915256004995E-02 
456	 3.51278093070443E-02 
457	 3.53043636598286E-02 
458	 3.54987452012144E-02 
459	 3.56705074381552E-02 
460	 3.57976783803142E-02 
461	 3.59111342303125E-02 
462	 3.60421454544669E-02 
463	 3.62161834624746E-02 
464	 3.64060134867508E-02 
465	 3.65742738943277E-02 
466	 3.66938938473621E-02 
467	 3.67873858067202E-02 
468	 3.68723854089692E-02 
469	 3.69811669869784E-02 
470	 3.71555708951041E-02 
471	 3.73196854343126E-02 
472	 3.74674946811461E-02 
473	 3.76097189959428E-02 
474	 3.77576331654222E-02 
475	 3.79097337093384E-02 
476	 3.80434013179154E-02 
477	 3.81261601559669E-02 
478	 3.82790083792698E-02 
479	 3.84665565111177E-02 
480	 3.86372432537983E-02 
481	 3.87803136963834E-02 
482	 3.89417298003216E-02 
483	 3.91335726651837E-02 
484	 3.93409520660746E-02 
485	 3.95489298020047E-02 
486	 3.97554397386022E-02 
487	 3.99570923120444E-02 
488	 4.01366284639634E-02 
