Wavelength	09/27/123 at 12:28:00
350	 2.86724979755731E-02 
351	 2.85643274250738E-02 
352	 0.0289163913741 
353	 2.92301820525471E-02 
354	 2.89517476616882E-02 
355	 2.92578453525015E-02 
356	 2.96719935160392E-02 
357	 2.97862559618944E-02 
358	 2.96474405673813E-02 
359	 2.97365369021522E-02 
360	 2.98809634725981E-02 
361	 2.96971408330273E-02 
362	 2.99058134256106E-02 
363	 3.01723712722578E-02 
364	 3.02756638847177E-02 
365	 3.04849084419428E-02 
366	 3.04922732074691E-02 
367	 0.030366458302278 
368	 3.03676937495777E-02 
369	 3.07997181491551E-02 
370	 3.10548963081874E-02 
371	 3.08626521937058E-02 
372	 3.09154761361494E-02 
373	 3.10901811098148E-02 
374	 3.12964609074363E-02 
375	 3.14473063970573E-02 
376	 3.16667185908542E-02 
377	 3.19795258585987E-02 
378	 3.22730459104294E-02 
379	 0.032106196762488 
380	 3.20784427333226E-02 
381	 3.22409068456466E-02 
382	 3.23870000007625E-02 
383	 3.25705697486045E-02 
384	 3.29897068445283E-02 
385	 3.35249172861868E-02 
386	 3.33028508489861E-02 
387	 3.31944882437202E-02 
388	 3.33612855167009E-02 
389	 3.36305401814518E-02 
390	 3.38710791704417E-02 
391	 3.41449271289739E-02 
392	 3.44482439221779E-02 
393	 3.46136643643161E-02 
394	 3.47211327607376E-02 
395	 3.47962608842776E-02 
396	 3.48536163877259E-02 
397	 0.034945579941198 
398	 3.50746867611016E-02 
399	 3.52508729226662E-02 
400	 3.55370989560045E-02 
401	 3.57182721754613E-02 
402	 0.035767646790003 
403	 3.57477970702275E-02 
404	 3.57947081842195E-02 
405	 3.59164477880888E-02 
406	 3.60718545965697E-02 
407	 3.61542211558034E-02 
408	 3.62579165902944E-02 
409	 0.036394967996968 
410	 0.036559390791977 
411	 3.68535464186096E-02 
412	 3.70970685688201E-02 
413	 3.72064136256003E-02 
414	 3.72789560533729E-02 
415	 0.037401997304512 
416	 3.75600094620228E-02 
417	 3.76915515465015E-02 
418	 3.77597705722128E-02 
419	 0.037823723159005 
420	 3.79324465321455E-02 
421	 3.81145262793451E-02 
422	 3.82837638491908E-02 
423	 3.84667966089327E-02 
424	 3.87138968336753E-02 
425	 3.89387052494712E-02 
426	 0.039173639750109 
427	 3.94121092386363E-02 
428	 3.95682006237625E-02 
429	 3.97524124372445E-02 
430	 3.99317375333446E-02 
431	 4.00531761465175E-02 
432	 4.02404151629063E-02 
433	 4.04282143248194E-02 
434	 4.05841057333705E-02 
435	 4.07331273428434E-02 
436	 4.09427789386397E-02 
437	 4.11716483331198E-02 
438	 4.13571950495579E-02 
439	 4.15300979132653E-02 
440	 0.041730980662431 
441	 4.19366909019294E-02 
442	 0.042036999032212 
443	 4.21977297691248E-02 
444	 4.23802181016734E-02 
445	 4.25169493044058E-02 
446	 4.27137418138325E-02 
447	 4.29458911163589E-02 
448	 4.31655153566336E-02 
449	 4.33071266078409E-02 
450	 4.34875346754963E-02 
451	 4.36625878692179E-02 
452	 4.37726727566911E-02 
453	 4.39267455649437E-02 
454	 4.40873178994872E-02 
455	 4.42345181488542E-02 
456	 0.044377502118989 
457	 4.45533877554194E-02 
458	 4.47692012355185E-02 
459	 4.49984678623432E-02 
460	 4.51078144525865E-02 
461	 4.52456896309691E-02 
462	 4.54339396613287E-02 
463	 4.55495033445526E-02 
464	 4.56877715340797E-02 
465	 4.58815282889144E-02 
466	 4.61100129031271E-02 
467	 4.62143318049492E-02 
468	 4.62968391911834E-02 
469	 4.64311650826825E-02 
470	 4.66530079030428E-02 
471	 4.68279301255733E-02 
472	 0.046967945594371 
473	 4.71075246229557E-02 
474	 4.72315426476091E-02 
475	 4.74000828751598E-02 
476	 4.75849629727216E-02 
477	 4.76951180746636E-02 
478	 4.78544109809187E-02 
479	 4.80561609955767E-02 
480	 4.82657533691435E-02 
481	 4.84369831575934E-02 
482	 4.86291297073999E-02 
483	 0.048844927233389 
484	 4.90452324574628E-02 
485	 4.92105020363821E-02 
486	 4.94234645778718E-02 
487	 4.97082484072208E-02 
488	 4.98914638482044E-02 
489	 5.01019586853711E-02 
490	 0.050348892728173 
491	 5.05806585795064E-02 
492	 0.050815704742264 
493	 5.10242781660458E-02 
494	 5.11990538734253E-02 
495	 5.13837443088221E-02 
496	 5.15786898832191E-02 
497	 5.18014120732527E-02 
498	 5.20719140494932E-02 
499	 5.23849677235739E-02 
500	 5.26880745879353E-02 
501	 0.052946608212009 
502	 0.053156668385879 
503	 5.34134704953724E-02 
504	 5.36892391357777E-02 
505	 5.39249838006294E-02 
506	 0.054202657986865 
507	 5.44539851592112E-02 
508	 0.054659687010468 
509	 5.48894176208585E-02 
510	 0.055127133907203 
511	 5.53948932930012E-02 
512	 0.055702674632625 
513	 5.59465956623423E-02 
514	 5.61830144149125E-02 
515	 5.64433833515194E-02 
516	 5.67152736072613E-02 
517	 5.69978635263615E-02 
518	 0.057318936649078 
519	 5.76698732289143E-02 
520	 5.78924505049984E-02 
521	 5.81305248466359E-02 
522	 5.84348063437321E-02 
523	 5.87630760395883E-02 
524	 0.059056525892876 
525	 0.059321136730171 
526	 5.95845141572946E-02 
527	 5.98791534320447E-02 
528	 6.02160719661802E-02 
529	 6.05515232733157E-02 
530	 6.08194002148486E-02 
531	 6.11402666413947E-02 
532	 6.14759994230807E-02 
533	 6.17796766291552E-02 
