Wavelength	09/27/123 at 12:32:02
350	 4.35790773801671E-03 
351	 3.92755634461924E-03 
352	 4.27006035234265E-03 
353	 4.71740742788715E-03 
354	 4.17889783547798E-03 
355	 4.36517620414932E-03 
356	 4.50274263146026E-03 
357	 4.19797200104346E-03 
358	 4.37853316123779E-03 
359	 4.58949255917112E-03 
360	 4.65619285422826E-03 
361	 4.56108026467348E-03 
362	 4.70296419174835E-03 
363	 4.90508413544435E-03 
364	 4.95323653838748E-03 
365	 4.63222248533086E-03 
366	 4.49326424834917E-03 
367	 4.59376856422619E-03 
368	 4.74698062190054E-03 
369	 4.87996963536125E-03 
370	 4.89674631129307E-03 
371	 4.81987343907601E-03 
372	 4.94072440663219E-03 
373	 5.02291474256147E-03 
374	 4.9550343734733E-03 
375	 4.73724932058459E-03 
376	 4.87505289734077E-03 
377	 5.08450406787587E-03 
378	 5.13061958153218E-03 
379	 5.11017987090397E-03 
380	 5.11985613117454E-03 
381	 5.24669437442305E-03 
382	 5.51322556241393E-03 
383	 5.37481734793317E-03 
384	 5.4241652649056E-03 
385	 5.87005654960511E-03 
386	 5.76359380496635E-03 
387	 5.67878216531657E-03 
388	 5.69341750445208E-03 
389	 5.71607544464537E-03 
390	 6.06091421961005E-03 
391	 6.44449998506789E-03 
392	 6.67583218773515E-03 
393	 6.82161952742775E-03 
394	 7.07483319367903E-03 
395	 7.28049138147136E-03 
396	 7.2235382655705E-03 
397	 7.36019143180442E-03 
398	 7.6392607946232E-03 
399	 7.94468608259751E-03 
400	 8.15328934367733E-03 
401	 8.2502499229559E-03 
402	 8.34135872184798E-03 
403	 8.55678859537969E-03 
404	 8.79829902458178E-03 
405	 9.02040894977195E-03 
406	 9.20820265778649E-03 
407	 9.38488903848844E-03 
408	 9.59704602972813E-03 
409	 9.84748145056856E-03 
410	 1.01173735806428E-02 
411	 1.03930721226368E-02 
412	 1.06133345101937E-02 
413	 1.07940794317923E-02 
414	 1.10971802551859E-02 
415	 1.12985572071002E-02 
416	 1.14303108274727E-02 
417	 1.15982354855416E-02 
418	 1.16985046340633E-02 
419	 0.011866485338376 
420	 1.21322050596525E-02 
421	 1.23298179568872E-02 
422	 1.25147879045915E-02 
423	 1.26684509644234E-02 
424	 1.27754229577653E-02 
425	 1.29971192761947E-02 
426	 1.32002830011891E-02 
427	 1.33291233383722E-02 
428	 1.34851634529316E-02 
429	 1.36136766389888E-02 
430	 0.013703612847177 
431	 1.37643636102624E-02 
432	 1.38305129663782E-02 
433	 1.39302549734051E-02 
434	 1.40471796892994E-02 
435	 1.41030555288247E-02 
436	 1.42667941827441E-02 
437	 1.44442369464472E-02 
438	 1.45037605860689E-02 
439	 0.014576128109604 
440	 0.014699991642808 
441	 1.48461630356207E-02 
442	 1.49024046561343E-02 
443	 1.50338831859097E-02 
444	 1.51890070801636E-02 
445	 1.52899628862836E-02 
446	 1.54652365935472E-02 
447	 1.56745396681269E-02 
448	 1.58653675601166E-02 
449	 0.015981598680358 
450	 1.61328275029964E-02 
451	 0.016294393284047 
452	 1.64136752538638E-02 
453	 1.65059975463773E-02 
454	 1.66156104316773E-02 
